gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
B200,R2000,dm,6,1000,2000,64,150.66,172.57,196.04333333
B200,R2000,lsqml,1,1000,2000,64,156.238,184.18,
B200,R2000,lsqml,2,1000,2000,64,151.7675,174.65,191.41
B200,R2000,lsqml,4,1000,2000,64,155.146,,194.35333333
B200,R2000,lsqml,6,1000,2000,64,155.824,,194.63333333
B200,R2000,pie,1,1000,2000,64,154.93,,198.51116279
B200,R2000,pie,2,1000,2000,64,152.0775,175.02,198.92465909
B200,R2000,pie,4,1000,2000,64,155.37,,199.2450289
B200,R2000,pie,6,1000,2000,64,151.62,174.13,199.55434783
B200,R4000,ad_ptycho,1,1000,4000,64,154.728,180.43,190.87
B200,R4000,ad_ptycho,2,1000,4000,64,153.494,179.3,196.055
B200,R4000,ad_ptycho,4,1000,4000,64,153.758,179.86,200.08666667
B200,R4000,ad_ptycho,6,1000,4000,64,153.444,179.84,204.7225
B200,R4000,bh,1,1000,4000,64,153.884,181.02,192.89
B200,R4000,bh,2,1000,4000,64,153.772,179.57,196.515
B200,R4000,bh,4,1000,4000,64,152.272,177.88,199.02333333
B200,R4000,bh,6,1000,4000,64,153.634,178.3,205.065
B200,R4000,dm,1,1000,4000,64,154.98,181.52,192.24
B200,R4000,dm,2,1000,4000,64,153.864,178.88,196.05
B200,R4000,dm,4,1000,4000,64,152.38714286,181.31,201.86
B200,R4000,dm,6,1000,4000,64,153.71,180.01,204.3625
B200,R4000,lsqml,1,1000,4000,64,154.046,179.9,191.09
B200,R4000,lsqml,2,1000,4000,64,153.276,179.2,195.56
B200,R4000,lsqml,4,1000,4000,64,153.668,179.44,199.34666667
B200,R4000,lsqml,6,1000,4000,64,154.344,182.39,204.04
B200,R4000,pie,1,1000,4000,64,153.334,179.18,199.24627907
B200,R4000,pie,2,1000,4000,64,153.362,179.77,199.40035714
B200,R4000,pie,4,1000,4000,64,154.632,180.18,199.63643275
B200,R4000,pie,6,1000,4000,64,153.906,179.18,199.80998051
B200,R8000,ad_ptycho,1,1000,8000,64,151.73,176.04,193.105
B200,R8000,ad_ptycho,2,1000,8000,64,152.01285714,,198.9475
B200,R8000,ad_ptycho,4,1000,8000,64,153.91142857,,208.94666667
B200,R8000,ad_ptycho,6,1000,8000,64,155.88857143,,213.3075
B200,R8000,bh,1,1000,8000,64,152.30833333,177.63,193.085
B200,R8000,bh,2,1000,8000,64,152.68714286,,198.505
B200,R8000,bh,4,1000,8000,64,151.55142857,,205.57833333
B200,R8000,bh,6,1000,8000,64,153.27142857,,211.07125
B200,R8000,dm,1,1000,8000,64,154.11428571,,191.105
B200,R8000,dm,2,1000,8000,64,151.84,,199.425
B200,R8000,dm,4,1000,8000,64,154.24142857,,207.60166667
B200,R8000,dm,6,1000,8000,64,153.87428571,,212.335
B200,R8000,lsqml,1,1000,8000,64,153.09857143,,190.385
B200,R8000,lsqml,2,1000,8000,64,153.57428571,,198.6125
B200,R8000,lsqml,4,1000,8000,64,152.09,,203.49
B200,R8000,lsqml,6,1000,8000,64,152.47,,210.78666667
B200,R8000,pie,1,1000,8000,64,154.56285714,,199.47811765
B200,R8000,pie,2,1000,8000,64,155.12857143,,199.82060423
B200,R8000,pie,4,1000,8000,64,151.93,,199.9810137
B200,R8000,pie,6,1000,8000,64,153.50285714,,200.37352825
H100,R1000,ad_ptycho,1,1000,1000,64,87.03,,118.40333333
H100,R1000,ad_ptycho,2,1000,1000,64,87.04833333,118.11,120.36
H100,R1000,ad_ptycho,4,1000,1000,64,91.08428571,,121.26
H100,R1000,ad_ptycho,6,1000,1000,64,84.44,109.56,119.47
H100,R1000,bh,1,1000,1000,64,84.9,117.99,118.81333333
H100,R1000,bh,2,1000,1000,64,93.62857143,,
H100,R1000,bh,4,1000,1000,64,91.12428571,,122.71
H100,R1000,bh,6,1000,1000,64,83.04166667,108.96,119.815
H100,R1000,dm,1,1000,1000,64,82.656,107.66,118.56
H100,R1000,dm,2,1000,1000,64,90.31375,,
H100,R1000,dm,4,1000,1000,64,90.99428571,,
H100,R1000,dm,6,1000,1000,64,87.07,117.02,124.46
H100,R1000,lsqml,1,1000,1000,64,86.73666667,,116.3
H100,R1000,lsqml,2,1000,1000,64,89.15166667,117.22,119.585
H100,R1000,lsqml,4,1000,1000,64,83.10666667,108.8,119.66333333
H100,R1000,lsqml,6,1000,1000,64,91.38285714,,119.945
H100,R1000,pie,1,1000,1000,64,101.24928571,117.05666667,118.268
H100,R1000,pie,2,1000,1000,64,94.86375,,119.45677419
H100,R1000,pie,4,1000,1000,64,86.67,116.81,119.56761905
H100,R1000,pie,6,1000,1000,64,84.748,109.04,119.71
H100,R12000,ad_ptycho,1,1000,12000,64,80.97,118.06,126.2
H100,R12000,ad_ptycho,2,1000,12000,64,83.888125,,137.32
H100,R12000,ad_ptycho,4,1000,12000,64,81.80875,122.39,146.84166667
H100,R12000,ad_ptycho,6,1000,12000,64,78.46357143,119.6,147.60818182
H100,R12000,bh,1,1000,12000,64,82.10636364,117.99,124.495
H100,R12000,bh,2,1000,12000,64,84.22727273,122.38,132.01
H100,R12000,bh,4,1000,12000,64,78.08846154,107.66,137.07142857
H100,R12000,bh,6,1000,12000,64,77.761875,118.12,153.531
H100,R12000,dm,1,1000,12000,64,80.04181818,118.47,126.00666667
H100,R12000,dm,2,1000,12000,64,80.49666667,108.75,128.75833333
H100,R12000,dm,4,1000,12000,64,83.115,118.21,138.52555556
H100,R12000,dm,6,1000,12000,64,81.42785714,122.5,143.14181818
H100,R12000,lsqml,1,1000,12000,64,83.21642857,,122.865
H100,R12000,lsqml,2,1000,12000,64,78.09285714,108.91,123.952
H100,R12000,lsqml,4,1000,12000,64,78.016,118.66,132.20625
H100,R12000,lsqml,6,1000,12000,64,75.92,108.62,138.88
H100,R12000,pie,1,1000,12000,64,75.895,106.52,119.86025381
H100,R12000,pie,2,1000,12000,64,82.25307692,122.26,120.22818898
H100,R12000,pie,4,1000,12000,64,79.23384615,118.35,120.34618922
H100,R12000,pie,6,1000,12000,64,83.54555556,117.21,120.40406385
H100,R2000,ad_ptycho,1,1000,2000,64,90.91428571,,119.47
H100,R2000,ad_ptycho,2,1000,2000,64,86.8,,117.74
H100,R2000,ad_ptycho,4,1000,2000,64,90.89,,122.115
H100,R2000,ad_ptycho,6,1000,2000,64,82.34,107.83,120.51666667
H100,R2000,bh,1,1000,2000,64,89.13375,,119.11
H100,R2000,bh,2,1000,2000,64,90.62857143,,119.43
H100,R2000,bh,4,1000,2000,64,91.01428571,,122.21
H100,R2000,bh,6,1000,2000,64,91.06285714,,121.725
H100,R2000,dm,1,1000,2000,64,82.602,108.04,118.745
H100,R2000,dm,2,1000,2000,64,91.18,,120.52
H100,R2000,dm,4,1000,2000,64,90.92142857,,123.03
H100,R2000,dm,6,1000,2000,64,84.45285714,,120.71666667
H100,R2000,lsqml,1,1000,2000,64,86.555,,118.07
H100,R2000,lsqml,2,1000,2000,64,90.61428571,,119.8
H100,R2000,lsqml,4,1000,2000,64,84.396,109.23,118.98666667
H100,R2000,lsqml,6,1000,2000,64,82.442,106.94,120.575
H100,R2000,pie,1,1000,2000,64,85.90714286,,119.56088235
H100,R2000,pie,2,1000,2000,64,86.435,,119.71285714
H100,R2000,pie,4,1000,2000,64,90.78,,119.8568
H100,R2000,pie,6,1000,2000,64,91.48,,119.90160622
H100,R4000,ad_ptycho,1,1000,4000,64,89.03666667,,121.94
H100,R4000,ad_ptycho,2,1000,4000,64,82.81375,117.61,122.025
H100,R4000,ad_ptycho,4,1000,4000,64,88.46875,,124.05666667
H100,R4000,ad_ptycho,6,1000,4000,64,80.84833333,107.18,124.58
H100,R4000,bh,1,1000,4000,64,83.05166667,108.86,118.8
H100,R4000,bh,2,1000,4000,64,80.60166667,107.02,120.87
H100,R4000,bh,4,1000,4000,64,88.47375,119.78,129.765
H100,R4000,bh,6,1000,4000,64,91.09125,,130.3175
H100,R4000,dm,1,1000,4000,64,86.38,,118.355
H100,R4000,dm,2,1000,4000,64,81.065,108.93,120.20333333
H100,R4000,dm,4,1000,4000,64,84.18909091,,124.5
H100,R4000,dm,6,1000,4000,64,88.465,,129.67
H100,R4000,lsqml,1,1000,4000,64,82.28,109.24,119.455
H100,R4000,lsqml,2,1000,4000,64,83.1075,,119.86
H100,R4000,lsqml,4,1000,4000,64,92.386,,122.795
H100,R4000,lsqml,6,1000,4000,64,85.01888889,117.36,126.725
H100,R4000,pie,1,1000,4000,64,84.38285714,116.87,119.78772727
H100,R4000,pie,2,1000,4000,64,81.84444444,117.91,119.89710938
H100,R4000,pie,4,1000,4000,64,89.06,,120.07503968
H100,R4000,pie,6,1000,4000,64,80.88,107.75,120.06231169
H100,R8000,ad_ptycho,1,1000,8000,64,80.02636364,120.28,125.115
H100,R8000,ad_ptycho,2,1000,8000,64,80.13363636,119.25,127.83
H100,R8000,ad_ptycho,4,1000,8000,64,77.465,108.53,129.595
H100,R8000,ad_ptycho,6,1000,8000,64,79.95090909,,137.56125
H100,R8000,bh,1,1000,8000,64,82.16909091,119.09,121.42
H100,R8000,bh,2,1000,8000,64,78.35444444,109.15,126.16
H100,R8000,bh,4,1000,8000,64,79.27909091,107.42,133.39166667
H100,R8000,bh,6,1000,8000,64,84.38909091,,142.16714286
H100,R8000,dm,1,1000,8000,64,79.47666667,118.67,126.165
H100,R8000,dm,2,1000,8000,64,79.58,119.58,126.20333333
H100,R8000,dm,4,1000,8000,64,80.833,117.54,136.80833333
H100,R8000,dm,6,1000,8000,64,78.74625,107.83,138.95555556
H100,R8000,lsqml,1,1000,8000,64,79.813,109.6,121.65
H100,R8000,lsqml,2,1000,8000,64,82.85625,,123.1775
H100,R8000,lsqml,4,1000,8000,64,77.561,108.7,126.48666667
H100,R8000,lsqml,6,1000,8000,64,79.28625,109.38,134.7925
H100,R8000,pie,1,1000,8000,64,77.476,108.14,120.15730159
H100,R8000,pie,2,1000,8000,64,77.508,108.43,120.2016996
H100,R8000,pie,4,1000,8000,64,79.29181818,108.42,120.20357834
H100,R8000,pie,6,1000,8000,64,79.5725,118.81,120.3028961
H200,R1000,ad_ptycho,1,1000,1000,64,87.67333333,,105.92
H200,R1000,ad_ptycho,2,1000,1000,64,84.01,94.57,105.27
H200,R1000,ad_ptycho,4,1000,1000,64,84.545,94.95,105.65
H200,R1000,ad_ptycho,6,1000,1000,64,88.08333333,,113.17
H200,R1000,bh,1,1000,1000,64,84.22,94.77,105.84
H200,R1000,bh,2,1000,1000,64,84.18,94.44,105.5
H200,R1000,bh,4,1000,1000,64,84.32,94.78,105.21
H200,R1000,bh,6,1000,1000,64,88.15666667,,112.195
H200,R1000,dm,1,1000,1000,64,84.18,94.33,105.43
H200,R1000,dm,2,1000,1000,64,88.03,,106.92
H200,R1000,dm,4,1000,1000,64,87.72333333,,106.53
H200,R1000,dm,6,1000,1000,64,84.22,95.15,114.325
H200,R1000,lsqml,1,1000,1000,64,83.865,94.73,105.71
H200,R1000,lsqml,2,1000,1000,64,87.64,,105.72
H200,R1000,lsqml,4,1000,1000,64,88.29333333,,106.48
H200,R1000,lsqml,6,1000,1000,64,84.44,95.76,112.55
H200,R1000,pie,1,1000,1000,64,83.585,94.54,133.55259259
H200,R1000,pie,2,1000,1000,64,83.73,94.44,134.9024
H200,R1000,pie,4,1000,1000,64,83.845,94.01,135.75417476
H200,R1000,pie,6,1000,1000,64,83.55,93.68,136.23810127
H200,R12000,ad_ptycho,1,1000,12000,64,86.164,,125.1325
H200,R12000,ad_ptycho,2,1000,12000,64,85.726,,135.87
H200,R12000,ad_ptycho,4,1000,12000,64,86.024,,149.67545455
H200,R12000,ad_ptycho,6,1000,12000,64,85.784,,154.64214286
H200,R12000,bh,1,1000,12000,64,85.784,,123.53
H200,R12000,bh,2,1000,12000,64,85.774,,135.22166667
H200,R12000,bh,4,1000,12000,64,86.23,,149.78909091
H200,R12000,bh,6,1000,12000,64,86.844,,155.81133333
H200,R12000,dm,1,1000,12000,64,86.114,,124.715
