gpu,dataset,algorithm,epochs,batch_size,raw_images,resolution_y,resolution_x,N,io_load_time_s,setup_time_s,task_setup_time_s,reconstruction_run_time_s,save_time_s,total_time_s,log_file,power_duration_s,power_avg_w,power_min_w,power_max_w,power_energy_j,power_samples,power_csv,input_pixels,io_stage_s,prep_stage_s,pre_recon_s,num_batches,warmup_epoch,flops_per_image_epoch,flops_per_image_epoch_gflops,total_recon_gflops,fit_reconstruction
A100,R12000,lsqml,4,1000,12000,64,64,64,0.926718,0.004861,0.085004,2.792779,0.0,3.811669,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e4_bs1000.log,3.63,41.4065,31.49,70.16,150.108,20,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e4_bs1000_power.csv,49152000,0.926718,0.089865,1.016583,12,False,983040.0,0.00098304,47.18592,True
A100,R12000,lsqml,6,1000,12000,64,64,64,0.922468,0.004033,0.099295,3.969121,0.0,4.995538,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e6_bs1000.log,4.83,45.48423076923076,31.6,65.19,221.828,26,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e6_bs1000_power.csv,49152000,0.922468,0.10332799999999999,1.025796,12,False,983040.0,0.00098304,70.77888,True
A100,R12000,pie,1,1000,12000,64,64,64,1.150895,0.004738,0.087208,63.75913,0.0,65.003349,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e1_bs1000.log,64.69,34.790646153846154,31.5,40.6,2250.53935,325,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e1_bs1000_power.csv,49152000,1.150895,0.091946,1.2428409999999999,12,True,819200.0,0.0008192,9.8304,False
A100,R12000,pie,2,1000,12000,64,64,64,1.149844,0.00475,0.089837,126.268012,0.0,127.513634,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e2_bs1000.log,127.16,34.797770800627944,31.41,40.2,4424.843699999999,637,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e2_bs1000_power.csv,49152000,1.149844,0.094587,1.244431,12,False,819200.0,0.0008192,19.6608,True
A100,R12000,pie,4,1000,12000,64,64,64,0.9207,0.004794,0.091368,252.546559,0.0,253.564326,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e4_bs1000.log,253.29,34.787426992896606,31.41,41.05,8811.247599999999,1267,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e4_bs1000_power.csv,49152000,0.9207,0.096162,1.016862,12,False,819200.0,0.0008192,39.3216,True
A100,R12000,pie,6,1000,12000,64,64,64,1.160888,0.004817,0.091407,379.690522,0.0,380.948854,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e6_bs1000.log,380.43,34.777528916929555,31.5,40.38,13230.3264,1902,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/pie/e6_bs1000_power.csv,49152000,1.160888,0.096224,1.257112,12,False,819200.0,0.0008192,58.9824,True
A100,R2000,ad_ptycho,1,1000,2000,64,64,64,0.583677,0.004665,0.070124,0.339722,0.0,0.99878,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e1_bs1000.log,0.63,37.586,31.42,56.17,22.543,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e1_bs1000_power.csv,8192000,0.583677,0.07478900000000001,0.658466,2,True,1720320.0,0.00172032,3.44064,False
A100,R2000,ad_ptycho,2,1000,2000,64,64,64,0.581444,0.004828,0.092957,0.438875,0.0,1.118701,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e2_bs1000.log,0.63,36.532,31.5,51.6,21.922,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e2_bs1000_power.csv,8192000,0.581444,0.097785,0.679229,2,False,1720320.0,0.00172032,6.88128,True
A100,R2000,ad_ptycho,4,1000,2000,64,64,64,0.346701,0.004775,0.080834,0.660592,0.0,1.093695,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e4_bs1000.log,0.83,38.35,31.5,59.43,32.888999999999996,6,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e4_bs1000_power.csv,8192000,0.346701,0.085609,0.43230999999999997,2,False,1720320.0,0.00172032,13.76256,True
A100,R2000,ad_ptycho,6,1000,2000,64,64,64,0.570137,0.00492,0.082675,0.85868,0.0,1.516998,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e6_bs1000.log,1.03,38.997142857142855,31.42,63.42,41.112,7,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/ad_ptycho/e6_bs1000_power.csv,8192000,0.570137,0.08759499999999999,0.657732,2,False,1720320.0,0.00172032,20.64384,True
